ticker,company,theme,metric_type,price,mkt_cap,current_metric,current_multiple,bull_cagr,bull_multiple,bull_price,bull_upside,base_cagr,base_multiple,base_price,base_upside,bear_cagr,bear_multiple,bear_price,bear_upside,weighted_price,weighted_upside,bull_prob,base_prob,bear_prob
BANB.SW,BANB.SW,Health Tech,Fwd EPS,78.75,5901173248.0,3.02384,26.0x,0.18,28.0,139.11144472063998,76.64945361351107,0.12,22.0,93.46210463744002,18.682037634844463,0.04,15.0,51.0211313664,-35.21126175695238,94.26419634048,19.70056678156191,0.25,0.5,0.25
BAX,BAX,Health Tech,Fwd EPS,19.33,9983345664.0,2.01122,9.6x,0.18,28.0,92.52596693311997,378.6651160533884,0.12,22.0,62.163624427520006,221.59143521738235,0.04,15.0,33.9352346112,75.55734408277293,62.69711259984,224.3513326427315,0.25,0.5,0.25
BE,BE,Energy transition & grids,Fwd EPS,293.8,83569606656.0,4.32273,68.0x,0.18,28.0,198.86674408608,-32.31220419125936,0.12,22.0,133.60873709568003,-54.523915215901965,0.04,15.0,72.93725038080001,-75.17452335575221,134.75536716456003,-54.133639494703864,0.25,0.5,0.25
BESI.AS,BESI.AS,AI infrastructure & compute,Fwd EPS,282.9,22409838592.0,5.93018,47.7x,0.18,28.0,272.81731416127997,-3.564045895623902,0.12,22.0,183.29247039488007,-35.209448428815804,0.04,15.0,100.0596899328,-64.63072112661717,184.86548622096,-34.65341596996818,0.25,0.5,0.25
BIIB,BIIB,Health Tech,Fwd EPS,196.97,29080084480.0,16.59391,11.9x,0.18,28.0,763.40110378336,287.57227180959535,0.12,22.0,512.8914733465601,160.39065509801497,0.04,15.0,279.98837967360004,42.14772791470784,517.2931075375201,162.62532748008329,0.25,0.5,0.25
BIP,BIP,Energy transition & grids,Fwd EPS,38.74,17820696576.0,1.43132,27.1x,0.18,28.0,65.84772774272,69.9734841061435,0.12,22.0,44.23983398912001,14.1967836580279,0.04,15.0,24.1506051072,-37.65976998657719,44.61950020704,15.176820358905507,0.25,0.5,0.25
BSX,BSX,Health Tech,Fwd EPS,50.46,75001479168.0,3.75215,13.4x,0.18,28.0,172.61727052639998,242.08733754736417,0.12,22.0,115.97301309440002,129.83157569242968,0.04,15.0,63.309876863999996,25.465471391200943,116.9682933948,131.80399008085612,0.25,0.5,0.25
BWXT,BWXT,Energy transition & grids,Fwd EPS,198.95,18226733056.0,5.20514,38.2x,0.18,28.0,239.46192436543996,20.362867235707437,0.12,22.0,160.88263245824004,-19.134137995355594,0.04,15.0,87.82611901440002,-55.855180188791145,162.26332707408,-18.44014723594872,0.25,0.5,0.25
CAMT,CAMT,Quantum / frontier compute,Fwd EPS,169.62,7810063872.0,4.52483,37.5x,0.18,28.0,208.16433356767996,22.723932064426332,0.12,22.0,139.85532796928004,-17.547855223865096,0.04,15.0,76.3472755968,-54.989225564909795,141.05556627576001,-16.840250987053405,0.25,0.5,0.25
CAT,CAT,Industrial automation & robotics,Fwd EPS,909.93,419106455552.0,29.81292,30.5x,0.18,28.0,1371.5402840563197,50.73030717267479,0.12,22.0,921.4701335347202,1.268244099515381,0.04,15.0,503.0322066432,-44.71748303240908,929.37818944224,2.1373280848241194,0.25,0.5,0.25
CBRS,CBRS,Cybersecurity & digital trust,Trail EPS,266.9,58614001664.0,0.43,620.7x,0.18,28.0,19.782105279999996,-92.58819584863245,0.12,22.0,13.290618880000004,-95.02037509179468,0.04,15.0,7.255372800000001,-97.28161378793556,13.404678960000002,-94.97763995503934,0.25,0.5,0.25
CCJ,CCJ,Energy transition & grids,Fwd EPS,107.44,46793666560.0,1.920822,55.9x,0.18,28.0,88.367216344512,-17.752032441816823,0.12,22.0,59.36956543795202,-44.74165540026803,0.04,15.0,32.409952773120004,-69.83437009203276,59.87907499838401,-44.26742833359641,0.25,0.5,0.25
