ticker,year,revenue,net_income,free_cash_flow,gross_margin_pct,operating_margin_pct,total_debt,stockholders_equity,roe_pct,as_of
REGN,2024,14202000000.0,4412600000.0,3538900000.0,86.12519363469934,28.099563441768765,2704400000.0,29353600000.0,15.03,2026-05-28T08:25:39Z
REGN,2023,13117200000.0,3953600000.0,3667600000.0,86.15710669960052,30.853383344006343,2702900000.0,25973100000.0,15.22,2026-05-28T08:25:39Z
REGN,2022,12172900000.0,4338400000.0,3398000000.0,87.18136187761338,38.929918096755905,2701400000.0,22664000000.0,19.14,2026-05-28T08:25:39Z
REGN,2021,,,,,,,,,2026-05-28T08:25:39Z
B,2025,16956000000.0,4993000000.0,3868000000.0,51.25619249823072,47.21042698749705,5211000000.0,26557000000.0,18.8,2026-05-28T08:25:39Z
B,2024,12922000000.0,2144000000.0,1317000000.0,38.39188980034051,32.37888871691688,5256000000.0,24290000000.0,8.83,2026-05-28T08:25:39Z
B,2023,11397000000.0,1272000000.0,646000000.0,30.402737562516453,24.655611125734843,5223000000.0,23341000000.0,5.45,2026-05-28T08:25:39Z
B,2022,11013000000.0,432000000.0,432000000.0,31.925905747752655,27.45845818578044,5250000000.0,22771000000.0,1.9,2026-05-28T08:25:39Z
B,2021,,,,,,,,,2026-05-28T08:25:39Z
TXT,2025,14799000000.0,921000000.0,929000000.0,18.210689911480504,6.763970538549902,3878000000.0,7875000000.0,11.7,2026-05-28T08:25:40Z
TXT,2024,13702000000.0,824000000.0,650000000.0,18.260108013428695,6.23996496861772,3588000000.0,7204000000.0,11.44,2026-05-28T08:25:40Z
TXT,2023,13683000000.0,921000000.0,864000000.0,20.814148943945042,7.695680771760578,3874000000.0,6987000000.0,13.18,2026-05-28T08:25:40Z
TXT,2022,12869000000.0,861000000.0,1134000000.0,20.747532830833787,6.861449996114694,3557000000.0,7113000000.0,12.1,2026-05-28T08:25:40Z
TXT,2021,,,,,,,,,2026-05-28T08:25:40Z
ZBH,2025,8231500000.0,705100000.0,1420200000.0,69.70539998785155,16.475733462916843,7519100000.0,12697700000.0,5.55,2026-05-28T08:25:41Z
ZBH,2024,7678600000.0,903800000.0,1142600000.0,71.46354804261193,19.903367801422135,6204600000.0,12468100000.0,7.25,2026-05-28T08:25:41Z
ZBH,2023,7394200000.0,1024000000.0,1187100000.0,71.81845230045171,19.627545914365314,5767900000.0,12480500000.0,8.2,2026-05-28T08:25:41Z
ZBH,2022,6939900000.0,231400000.0,1067100000.0,70.90015706278189,17.177480943529446,5696500000.0,12020300000.0,1.93,2026-05-28T08:25:41Z
ZBH,2021,,,,,,,,,2026-05-28T08:25:41Z
QUBT,2025,682000.0,-18674000.0,-36984000.0,9.824046920821115,-7489.296187683284,1808000.0,1598265000.0,-1.17,2026-05-28T08:25:42Z
QUBT,2024,373000.0,-68542000.0,-22249000.0,30.02680965147453,-6953.619302949061,1181000.0,107287000.0,-63.89,2026-05-28T08:25:42Z
QUBT,2023,358000.0,-27022000.0,-20427000.0,45.25139664804469,-7330.446927374302,2765000.0,68703000.0,-39.33,2026-05-28T08:25:42Z
QUBT,2022,136000.0,-25978000.0,-16248000.0,55.14705882352941,-21062.5,8266000.0,65124000.0,-39.89,2026-05-28T08:25:42Z
QUBT,2021,,,,,,,,,2026-05-28T08:25:42Z
ASTS,2025,70918000.0,-341940000.0,-1192655000.0,50.34264925688824,-405.6981302349192,2239510000.0,1841475000.0,-18.57,2026-05-28T08:25:43Z
ASTS,2024,4418000.0,-300083000.0,-300270000.0,100.0,-5494.839293798099,173000000.0,479115000.0,-62.63,2026-05-28T08:25:43Z
ASTS,2023,,-87561000.0,-267749000.0,,,72872000.0,98991000.0,-88.45,2026-05-28T08:25:43Z
ASTS,2022,13825000.0,-31640000.0,-213748000.0,51.43580470162749,-1054.3508137432189,12768000.0,133532000.0,-23.69,2026-05-28T08:25:43Z
ASTS,2021,,,,,,,,,2026-05-28T08:25:43Z
FLY,2025,159855000.0,-298340000.0,-237750000.0,19.183635169372245,-163.08341934878484,308593000.0,1189939000.0,-25.07,2026-05-28T08:25:43Z
FLY,2024,60792000.0,-231133000.0,-190347000.0,-18.694894065008555,-341.6748914330833,168398000.0,-767622000.0,30.11,2026-05-28T08:25:43Z
FLY,2023,55235000.0,-135457000.0,-170682000.0,48.157870915180595,-238.75441296279533,120949000.0,-504485000.0,26.85,2026-05-28T08:25:43Z
IRDM,2025,871659000.0,114372000.0,299793000.0,71.54816275630722,27.072513448493044,1760526000.0,462600000.0,24.72,2026-05-28T08:25:44Z
IRDM,2024,830682000.0,112776000.0,306065000.0,72.24365039810661,24.1228291933616,1790885000.0,576637000.0,19.56,2026-05-28T08:25:44Z
IRDM,2023,790723000.0,15415000.0,241426000.0,71.52985305852998,10.323210530109785,1482490000.0,888099000.0,1.74,2026-05-28T08:25:44Z
IRDM,2022,721034000.0,8722000.0,273462000.0,72.10270250778743,10.634588660174138,1487185000.0,1128555000.0,0.77,2026-05-28T08:25:44Z
IRDM,2021,,,,,,,,,2026-05-28T08:25:44Z
MDA.TO,2025,1633200000.0,108500000.0,132100000.0,25.08572128337007,9.662013225569435,411100000.0,1355000000.0,8.01,2026-05-28T08:25:45Z
MDA.TO,2024,1080100000.0,79400000.0,607800000.0,26.08091843347838,9.88797333580224,136800000.0,1176000000.0,6.75,2026-05-28T08:25:45Z
MDA.TO,2023,807600000.0,48800000.0,-179700000.0,30.212976721149083,9.596334819217434,525000000.0,1064700000.0,4.58,2026-05-28T08:25:45Z
MDA.TO,2022,641200000.0,26300000.0,-123100000.0,35.62071116656269,11.634435433562071,251900000.0,1000600000.0,2.63,2026-05-28T08:25:45Z
MDA.TO,2021,,,,,,,,,2026-05-28T08:25:45Z
PL,2026,307727000.0,-246860000.0,51414000.0,56.051305215336974,-30.895241561513938,462480000.0,188431000.0,-131.01,2026-05-28T08:25:46Z
PL,2025,244352000.0,-123196000.0,-68778000.0,57.18185240963855,-45.47660751702462,21613000.0,441286000.0,-27.92,2026-05-28T08:25:46Z
PL,2024,220696000.0,-140509000.0,-93121000.0,51.17899735382608,-75.81016420777902,24930000.0,518018000.0,-27.12,2026-05-28T08:25:46Z
PL,2023,191256000.0,-161966000.0,-86693000.0,49.15296775003137,-91.8533274773079,22030000.0,576104000.0,-28.11,2026-05-28T08:25:46Z
PL,2022,,,,,,,,,2026-05-28T08:25:46Z
SSIT.L,2024,8210000.0,6728000.0,-7405000.0,,,,228138000.0,2.95,2026-05-28T08:25:47Z
SSIT.L,2023,-15068000.0,-16919000.0,-22104000.0,,,,222397000.0,-7.61,2026-05-28T08:25:47Z
SSIT.L,2022,4995000.0,3369000.0,-88912000.0,,,,239316000.0,1.41,2026-05-28T08:25:47Z
SPIR,2025,71553000.0,51305000.0,-92605000.0,40.75720095593476,-121.38135368188615,13397000.0,112928000.0,45.43,2026-05-28T08:25:47Z
SPIR,2024,110451000.0,-103359000.0,-45034000.0,36.10198187431531,-59.599279318430796,106794000.0,-11687000.0,884.39,2026-05-28T08:25:47Z
